Scientific name,Acronym,In modelling folder,Functional Group,Taxonomic Group,Phylum,Common name
Sphaeroma walkeri,Swal,Yes,Zoobenthos,Malacostraca,Arthropoda,
Tricellaria inopinata,Tino,Yes,Zoobenthos,Bryozoa,Bryozoa,
Temora longicornis,Tlon,Yes,Zooplankton,Copepoda,Arthropoda,
Tripos muelleri ,Tmue,Yes,Phytoplankton,Dinoflagellate ,Myzozoa,
Teredo navalis,Tnav,Yes,Zoobenthos,Mollusca,Mollusca,Naval shipworm
Ulva australis,Uaus,Yes,Phytobenthos,Chlorophyta,Chlorophyta,
Urosalpinx cinerea,Ucin,Yes,Zoobenthos,Mollusca,Mollusca,American oyster drill
Undaria pinnatifida,Upin,Yes,Phytobenthos,Phaeophycea,Ochrophyta,"Wakame, Asian Kelp (CABI)."
Ulonema rhizophorum ,Urhi,Yes,Phytobenthos,Ochrophyta,Ochrophyta,
Ulva rigida,Urig,Yes,Phytobenthos,Chlorophyta,Chlorophyta,Sea lettuce
Watersipora subtorquata,Wsub,Yes,Zoobenthos,Bryozoa,Bryozoa,Red-rust bryozoan
Zostera japonica,Zjap,Yes,Phytobenthos,Tracheophyta,Tracheophyta,
